"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34666"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","35368"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34942"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Vilkaviškio r. sav.","Miestas ir kaimas","asmenys","34419"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","214617"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","211189"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","216233"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","212714"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio apskritis","Miestas ir kaimas","asmenys","211652"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","23172"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","22719"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","23314"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","22756"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Biržų r. sav.","Miestas ir kaimas","asmenys","22442"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16756"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16356"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16530"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","16232"
"2023","Nuolatinių gyventojų skaičius metų pradžioje","Kupiškio r. sav.","Miestas ir kaimas","asmenys","15986"
"2019","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","87139"
"2020","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","85885"
"2021","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","89100"
"2022","Nuolatinių gyventojų skaičius metų pradžioje","Panevėžio m. sav.","Miestas ir kaimas","asmenys","87590"
